"animal_id","timestamp","longitude","latitude","fix"
"TTP-058","2019-02-04 14:02:05-05",-80.2790305555556,26.0736527777778,"3D"
"TTP-058","2019-02-04 15:02:04-05",-80.2778944444444,26.0743527777778,"3D"
"TTP-058","2019-02-04 18:02:30-05",-80.2796527777778,26.0726,"3D"
"TTP-058","2019-02-04 19:02:05-05",-80.2791638888889,26.0718138888889,"3D"
"TTP-058","2019-02-04 20:02:08-05",-80.2786444444444,26.0711305555556,"3D"
"TTP-058","2019-02-04 21:02:06-05",-80.2783972222222,26.0719027777778,"3D"
"TTP-058","2019-02-04 22:02:02-05",-80.2777861111111,26.0742777777778,"3D"
"TTP-058","2019-02-04 23:02:06-05",-80.278775,26.0718694444444,"3D"
"TTP-058","2019-02-05 00:02:08-05",-80.2781111111111,26.0696583333333,"3D"
"TTP-058","2019-02-05 03:02:30-05",-80.2782861111111,26.0700527777778,"3D"
"TTP-058","2019-02-05 13:02:30-05",-80.2784805555556,26.0700472222222,"3D"
"TTP-058","2019-02-05 14:02:08-05",-80.2781472222222,26.0697194444444,"3D"
"TTP-058","2019-02-05 15:02:07-05",-80.2792055555555,26.0719527777778,"3D"
"TTP-058","2019-02-05 16:02:06-05",-80.2779222222222,26.0743972222222,"3D"
"TTP-058","2019-02-05 17:02:12-05",-80.2798166666667,26.0723638888889,"3D"
"TTP-058","2019-02-05 18:02:05-05",-80.2788916666667,26.0715861111111,"3D"
"TTP-058","2019-02-05 19:02:03-05",-80.2784388888889,26.0715305555556,"3D"
"TTP-058","2019-02-05 21:02:30-05",-80.2783111111111,26.0719027777778,"3D"
"TTP-058","2019-02-05 22:02:03-05",-80.2780472222222,26.0741722222222,"3D"
"TTP-058","2019-02-05 23:02:05-05",-80.278825,26.0716361111111,"3D"
"TTP-058","2019-02-06 16:02:30-05",-80.2800083333333,26.0724861111111,"3D"
"TTP-058","2019-02-06 20:02:30-05",-80.2796555555555,26.0714388888889,"3D"
"TTP-058","2019-02-06 21:02:07-05",-80.2789222222222,26.0714805555556,"3D"
"TTP-058","2019-02-06 22:02:06-05",-80.2786888888889,26.0719416666667,"3D"
"TTP-058","2019-02-06 23:02:04-05",-80.2786861111111,26.0693138888889,"3D"
"TTP-058","2019-02-07 00:02:13-05",-80.2781444444445,26.0698638888889,"3D"
"TTP-058","2019-02-07 01:02:17-05",-80.2785805555555,26.0702611111111,"3D"
"TTP-058","2019-02-07 02:02:04-05",-80.2785861111111,26.0703694444444,"3D"
"TTP-058","2019-02-07 03:02:30-05",-80.2785861111111,26.0703472222222,"3D"
"TTP-058","2019-02-07 13:17:30-05",-80.2782472222222,26.0706361111111,"3D"
"TTP-058","2019-02-07 13:32:04-05",-80.2781861111111,26.0703472222222,"3D"
"TTP-058","2019-02-07 13:47:03-05",-80.2782388888889,26.0703944444444,"3D"
"TTP-058","2019-02-07 14:47:02-05",-80.2765805555556,26.0708444444444,"3D"
"TTP-058","2019-02-07 15:02:03-05",-80.2763333333333,26.0703055555556,"3D"
"TTP-058","2019-02-07 15:17:05-05",-80.2762861111111,26.0703333333333,"3D"
"TTP-058","2019-02-07 15:32:03-05",-80.2763222222222,26.0703722222222,"3D"
"TTP-058","2019-02-07 15:47:03-05",-80.2762888888889,26.0703611111111,"3D"
"TTP-058","2019-02-07 16:17:06-05",-80.2762222222222,26.0703527777778,"3D"
"TTP-058","2019-02-07 16:32:06-05",-80.276275,26.0704722222222,"3D"
"TTP-058","2019-02-07 16:47:02-05",-80.2762361111111,26.0703444444444,"3D"
"TTP-058","2019-02-07 17:02:02-05",-80.2763222222222,26.0703833333333,"3D"
"TTP-058","2019-02-07 17:17:06-05",-80.2762888888889,26.0698222222222,"3D"
"TTP-058","2019-02-07 17:47:04-05",-80.2779555555556,26.0696527777778,"3D"
"TTP-058","2019-02-07 19:32:19-05",-80.2802388888889,26.0703444444444,"3D"
"TTP-058","2019-02-07 19:47:05-05",-80.279975,26.0704777777778,"3D"
"TTP-058","2019-02-07 20:02:03-05",-80.2799944444444,26.070325,"3D"
"TTP-058","2019-02-07 20:17:03-05",-80.2799833333333,26.0703361111111,"3D"
"TTP-058","2019-02-07 20:47:02-05",-80.2788277777778,26.0714361111111,"3D"
"TTP-058","2019-02-07 21:02:02-05",-80.2788861111111,26.0714944444444,"3D"
"TTP-058","2019-02-07 21:17:02-05",-80.2787638888889,26.0716527777778,"3D"
"TTP-058","2019-02-07 21:32:03-05",-80.2786194444444,26.0713972222222,"3D"
"TTP-058","2019-02-07 21:47:02-05",-80.2784972222222,26.0712583333333,"3D"
"TTP-058","2019-02-07 22:02:09-05",-80.2785472222222,26.0713472222222,"3D"
"TTP-058","2019-02-07 22:17:03-05",-80.2786388888889,26.0717694444444,"3D"
"TTP-058","2019-02-07 22:32:14-05",-80.2784083333333,26.0718277777778,"3D"
"TTP-058","2019-02-07 22:47:03-05",-80.2783277777778,26.0719305555556,"3D"
"TTP-058","2019-02-07 23:02:04-05",-80.2779472222222,26.0724805555556,"3D"
"TTP-058","2019-02-07 23:17:03-05",-80.2780388888889,26.0724027777778,"3D"
"TTP-058","2019-02-07 23:32:04-05",-80.2781277777778,26.0722472222222,"3D"
"TTP-058","2019-02-07 23:47:03-05",-80.2782888888889,26.0715333333333,"3D"
"TTP-058","2019-02-08 00:47:03-05",-80.2783694444445,26.0699805555556,"3D"
"TTP-058","2019-02-08 01:02:04-05",-80.27835,26.0699555555556,"3D"
"TTP-058","2019-02-08 01:17:03-05",-80.2784277777778,26.0699611111111,"3D"
"TTP-058","2019-02-08 01:32:03-05",-80.27835,26.0699777777778,"3D"
"TTP-058","2019-02-08 01:47:14-05",-80.2783722222222,26.0700333333333,"3D"
"TTP-058","2019-02-08 02:02:05-05",-80.2785222222222,26.0700055555556,"3D"
"TTP-058","2019-02-08 02:17:06-05",-80.2783944444444,26.0699972222222,"3D"
"TTP-058","2019-02-08 02:32:06-05",-80.278375,26.0700361111111,"3D"
"TTP-058","2019-02-08 13:02:30-05",-80.2784111111111,26.0699444444444,"3D"
"TTP-058","2019-02-08 14:02:04-05",-80.277625,26.0721722222222,"3D"
"TTP-058","2019-02-08 15:02:03-05",-80.2779916666667,26.073875,"3D"
"TTP-058","2019-02-08 21:02:05-05",-80.2770972222222,26.0701388888889,"3D"
"TTP-058","2019-02-08 22:02:30-05",-80.2781194444444,26.0697777777778,"3D"
"TTP-058","2019-02-08 23:02:08-05",-80.2790555555556,26.0689944444444,"3D"
"TTP-058","2019-02-09 13:02:30-05",-80.27875,26.0707777777778,"3D"
"TTP-058","2019-02-09 14:02:06-05",-80.2796472222222,26.0714861111111,"3D"
"TTP-058","2019-02-09 15:02:05-05",-80.2778638888889,26.0741972222222,"3D"
"TTP-058","2019-02-09 16:02:08-05",-80.2780527777778,26.0743888888889,"3D"
"TTP-058","2019-02-09 19:02:12-05",-80.2779611111111,26.0738777777778,"3D"
"TTP-058","2019-02-09 20:02:14-05",-80.2779138888889,26.0738972222222,"3D"
"TTP-058","2019-02-09 21:02:14-05",-80.2779111111111,26.0742444444444,"3D"
"TTP-058","2019-02-09 22:02:06-05",-80.2781555555556,26.0759555555556,"3D"
"TTP-058","2019-02-09 23:02:02-05",-80.2786,26.0739972222222,"3D"
"TTP-058","2019-02-10 00:02:05-05",-80.2787,26.074025,"3D"
"TTP-058","2019-02-10 01:02:04-05",-80.2786944444444,26.0716638888889,"3D"
"TTP-058","2019-02-10 02:02:06-05",-80.2781194444444,26.0702472222222,"3D"
"TTP-058","2019-02-10 03:02:07-05",-80.2783138888889,26.0700611111111,"3D"
"TTP-058","2019-02-10 16:02:30-05",-80.2788333333333,26.0714055555556,"3D"
"TTP-058","2019-02-10 17:02:07-05",-80.2778583333333,26.0740805555556,"3D"
"TTP-058","2019-02-10 18:02:08-05",-80.2778361111111,26.0740944444444,"3D"
"TTP-058","2019-02-10 19:02:09-05",-80.2781083333333,26.0743055555556,"3D"
"TTP-058","2019-02-10 20:02:04-05",-80.2784888888889,26.0739611111111,"3D"
"TTP-058","2019-02-10 21:02:06-05",-80.2784277777778,26.0741361111111,"3D"
